Village,Water Body,Type,Date,
Djanta Sara,Golong Matnan 2 S2,Section,6/5/23,
Djanta Sara,Golong Matnan 3,Entiere,8/15/23,
Djanta Sara,Kabakaye 1,Entiere,8/15/23,
Djanta Sara,Kabakaye 1,Entiere,7/19/23,
Djanta Sara,Kabakaye 1,Entiere,3/28/23,
Djanta Sara,Kabakaye 2,Entiere,4/26/23,
Djanta Sara,Kabakaye 2,Entiere,8/15/23,
Djanta Sara,Kabakaye 2,Entiere,7/19/23,
Djanta Sara,Kabakaye 2,Entiere,6/24/23,
Djanta Sara,Kabakaye 2,Entiere,3/28/23,
Madjala,Ba Mandra,Barriere,4/20/23,
Madjala,Babore,Entiere,3/16/23,
Madjala,Bah Bamondro,Entiere,3/29/23,
Madjala,Bouda Abangar,Entiere,8/5/23,
Madjala,Bouda Abangar,Entiere,6/12/23,
Madjala,Bouda Abangar 2,Entiere,9/20/23,
Madjala,Bouda Alassengar,Entiere,8/18/23,
Madjala,Bouda Alassengar,Entiere,7/9/23,
Madjala,Bouda Alassengar,Entiere,9/13/23,
Madjala,Bouda Bar,Section,4/12/23,
Madjala,Bouda Bar,Entiere,8/5/23,
Madjala,Bouda Bar,Entiere,6/17/23,
Madjala,Bouda Bar 2,Entiere,6/25/23,
Madjala,Bouda Bar 3,Entiere,6/25/23,
Madjala,Bouda Bord 1,Entiere,7/22/23,
Madjala,Bouda Bord 1,Entiere,9/5/23,
Madjala,Bouda Bord 2,Entiere,7/22/23,
Madjala,Bouda Dagne 1,Entiere,8/10/23,
Madjala,Bouda Dagne 1,Entiere,8/10/23,
Madjala,Bouda Dagne 1,Entiere,7/9/23,
Madjala,Bouda Dagne 1,Entiere,6/25/23,
Madjala,Bouda Dagne 1,Entiere,9/5/23,
Madjala,Bouda Dagne 2,Entiere,8/10/23,
Madjala,Bouda Dagne 2,Entiere,7/14/23,
Madjala,Bouda Dagne 2,Entiere,6/25/23,
Madjala,Bouda Dagne 2,Entiere,9/20/23,
Madjala,Bouda Dagne 3,Entiere,9/5/23,
